Name,Category,OriginalCategories,Application,Description,Photo
Charlottesville Community Church at the University of Virginia,Miscellaneous,Contracted Independent Organization (CIO)$Religious & Spiritual,True,Students gather to discuss the Bible and pray for one another.,eaeb9a72-5fb2-444b-b28a-5beb61d70206.png
Charlottesville Debate League,Service & Advocacy,Contracted Independent Organization (CIO)$Public Service,True,"The Charlottesville Debate League is a non-profit organization dedicated to expanding free and accessible speech and debate programs across Central Virginia. Founded in 2013 by a small but persistent group of University of Virginia students, CDL has since grown to number nearly a hundred student members and has over 200 middle and high school students in our programs.  ",cd446556-b046-4e49-a812-44beaec00f5c.png
Checkers Club at UVA,Recreation & Social,Contracted Independent Organization (CIO)$Social & Hobby$No Application or Interview Required,False,This organization is dedicated to providing a fun and safe space for people of all levels interested in the classic game of checkers. People of all skill levels are welcome to join.,77c4dd69-7502-4c13-b6d2-6dcb2a79bba1.png
Chi Alpha Christian Fellowship,Miscellaneous,Contracted Independent Organization (CIO)$Religious and Spiritual$Religious & Spiritual$No Application or Interview Required,False,"Chi Alpha Christian Fellowship at the University of Virginia is a body of college students earnestly following Jesus, who come together to worship our amazing God, to learn His Word and be discipled, to encourage one another and pray, and to have fun making friendships that will last a lifetime! Chi Alpha has two weekly events, and we would love to see you there! Our weekly large group meeting is called Monday Night Live. Monday Night Live is a time for fellowship, musical worship, prayer, a student testimony, and an encouraging message from the Bible! There are also weekly Core Group meetings. Core Groups are small groups of guys or girls who meet weekly to study the Bible and do life together! In addition, we offer many social events for you to connect and have fun with the Chi Alpha community! For more information and to sign up for a core group, visit our website: xaatuva.com",d0295b16-3a1c-4288-8f49-573b44ccb347.png
Chi Omega (Lambda Gamma Chapter),Greek Life,Political & Advocacy$Public Service$Social & Hobby$Fraternity or Sorority,True,FSL,4d00d439-059b-4377-aff7-aeb4b5ebe31d.jpg
Chi Phi (Alpha Chapter),Greek Life,Political & Advocacy$Public Service$Social & Hobby$Fraternity or Sorority,True,FSL,decff544-5f16-44dd-91f6-18d48c68148f.jpg
Chi Psi,Greek Life,Public Service$Social & Hobby$Fraternity or Sorority,True,FSL,7b813271-926d-45d7-bda4-d3a9e5b82d5c.jpg
Child Advocacy Research & Education,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Law School$Political & Advocacy$Public Service$No Application or Interview Required,False,"CARE brings together students interested in taking a legal approach to issues affecting children, including education, juvenile justice, foster care, and immigration. Through partnerships with faculty and local and national children’s law and advocacy organizations, CARE members learn about (and participate in) direct representation of children and broader systemic change through policy research and advocacy. CARE also spearheads the Street Law program, in which law students teach local grade school students about substantive legal issues. The program introduces students to the law and legal professions and educates them about their rights and responsibilities, and also encourages a connection between UVA Law and the Charlottesville community.",865c3fc8-dfc2-4005-8539-0a464998098c.jpeg
Chinese Christian Fellowship at UVA,Miscellaneous,Contracted Independent Organization (CIO)$Religious & Spiritual$No Application or Interview Required,False,A Christ-loving community for students who are in the Chinese-speaking community or students who are interested in the Chinese-speaking community through Bible study meetings and fellowship events.,497e59b5-1f43-48f3-8681-0a0b728975c1.png
Chinese Student Association,Identity & Culture,Contracted Independent Organization (CIO)$Cultural & Ethnic$Social & Hobby$No Application or Interview Required,False,"The Chinese Student Association (CSA), as one of the largest Asian-American cultural organizations on grounds, seeks to promote awareness and appreciation for traditional and modern Chinese culture within the University and greater Charlottesville community. CSA hosts an array of cultural and social events designed to reach out to and bring together both native and ethnic Chinese, as well as the non-Chinese populations of UVA, in order to share and celebrate Chinese culture.",afdd3b3e-1a18-4c65-9200-acf562d50235.jpg
Chocolate Mylk (Making Young Leaders Knowledgable) Club,Academic & Professional,Contracted Independent Organization (CIO)$Leadership Development$Social & Hobby$No Application or Interview Required,False,"This organization is a forum for people of all backgrounds and perspectives to come enjoy deep and thoughtful discussion over chocolate milk and other snacks. At the beginning of every meeting, we will have a lesson or a talk by someone of expertise about a certain subject or global problem. After the lesson, we will have a discussion in which students share back and forth questions, reactions, concerns, or anything else they want. This club provides the unique experience for a fun and laid back social vibe, with deep and meaningful conversation.",cc22f5b1-a790-4263-9599-28e46eac9cbf.jpg
Christian 'Hoos Exalt,Arts & Media,Contracted Independent Organization (CIO)$Visual & Performing Arts$Religious & Spiritual$Acapella Groups,True,"Christian Hoos Exalt (aka CHoosE) is UVA’s first and only Christian a cappella group. CHoosE was founded 28 years ago on the verse Josh. 24:15, “But if serving the Lord seems undesirable to you, then choose for yourselves this day whom you will serve…But as for me and my household, we will serve the Lord.” We choose to serve the Lord at UVA through our musicianship and love for the Lord!",800a62ca-e657-42d5-a0be-de513fc0a5c8.png
Christian Students at UVA,Recreation & Social,Contracted Independent Organization (CIO)$Social & Hobby$Religious & Spiritual$No Application or Interview Required,False,Fellowship club for Christian students at UVA.,96b5b877-8e7c-4de6-91c6-3522703c4861.jpg
Circle K International,Service & Advocacy,Contracted Independent Organization (CIO)$Public Service$Social & Hobby,True,"Circle K International is the world’s largest student-led collegiate service organization, with thousands of members on hundreds of campuses on five continents across the globe. The collegiate branch of the Kiwanis International family, CKI is committed to developing leaders by offering unique service, leadership and fellowship opportunities that not only change the world but change members’ lives. CKI members leave college with real-life networking and advocating skills AND service leadership. CKI members are dedicated to childhood development, environmental justice, serving those who are food insecure or lack housing and mental health. We also partner with UNICEF USA to raise awareness about the need of clean drinking water worldwide. ",7e5e00c1-68df-472d-849c-24756c701999.jpg
Clash of Clans Club at UVA,Recreation & Social,Contracted Independent Organization (CIO)$Social & Hobby$No Application or Interview Required,False,"Clash of Clans Club at UVA is an organization where players of the mobile video game, Clash of Clans, come together and play! We meet to compete in clan wars, clan league, and clan games. We welcome players of all experience levels and town halls, and offer help and strategies for those seeking to become better clashers. If you're interested in being apart of a unified clan with your friends and having fun, join COC Club at UVA!&#65279;",4f9b29d0-d4b9-4414-a809-cdb57b18b840.jpg
Clean Law Pledge,Professional Schools,Contracted Independent Organization (CIO)$Law School,True,The Clean Law Pledge (CLP) is a law student-led organization that aims to shift the legal industry away from fossil fuel work and towards more renewable energy work. ,dba7e83b-824d-4da1-a335-098239275cae.jpg
Clean Plate Project,Service & Advocacy,Contracted Independent Organization (CIO)$Public Service$No Application or Interview Required$Health and Wellness,False,"The Clean Plate Project is a student-run organization facilitating local volunteering opportunities for the UVA community at the intersection of food and medicine. Our mission is to provide comfort and support to patients and their families at the University of Virginia Children’s Hospital by offering nutritious, home-cooked meals during their time of need. Through partnerships with the Ronald McDonald House and the Yellow Door Foundation, which provide long-term housing for families, we ensure that burdened families have access to meals while their children receive care at UVACH. We host weekly cooking sessions at the Ronald McDonald House and deliver meals to families supported by the Yellow Door Foundation. In addition to our service initiatives, the Clean Plate Project hosts regular social activities to build camaraderie and community amongst our members. We welcome you to join us in making a difference, and we hope to see you at our next event!",4f6fcfa9-871a-4456-b923-954a40ce407c.png
Climbing Team at the University of Virginia,Recreation & Social,Contracted Independent Organization (CIO)$Social & Hobby$No Application or Interview Required,False,"We are a competitive and recreational rock climbing team composed of both undergraduate and graduate students at UVA. Our mission is to provide members with access to rad outdoor and indoor rock climbing and competitive training, regardless of climbing experience. All ability levels welcome! We practice twice a week and try to get outside as much as possible! UVA is a great location for easy access, outdoor climbing on the parkway so we try to facilitate as much of that as we can. As a team, we compete in the USA Climbing Collegiate Series, Triple Crown Bouldering Series, as well as other local competitions and travel to world-class rock such as the New River Gorge, Red River Gorge, Grayson Highlands State Park, Stone Fort, HP 40, and more!",6604a2de-1aac-4dc9-9580-9cd376955b9a.jpg
Club Badminton at the University of Virginia,Recreation & Social,Contracted Independent Organization (CIO)$Club Sport$Social & Hobby,True,Virginia Club Badminton brings players from diverse backgrounds and various skill levels together on the court to enjoy this fast-paced game. VCB has a competitive team that holds training sessions twice a week. We also have a weekly open gym session for those who would like to play the sport at leisure.,127272b2-1c5b-4c6c-aa9b-4ccde5593a32.jpg
Club Baseball at the University of Virginia,Recreation & Social,Contracted Independent Organization (CIO)$Club Sport,True,"Club Baseball at the University of Virginia is a group of highly skilled baseball players that compete in the National Club Baseball Association (NCBA) Division 1 Mid-Atlantic Region. We practice in the evening, 2-3 times per week, and play games on the weekend. Our Fall season consists of about 8-12 games and our official Spring season consists of about 15-20 games. Tryouts are required to join the team.",ae2b0e3b-0c19-4898-a2cd-3b44cc5447c6.jpg
Club Bowling at UVA,Recreation & Social,Contracted Independent Organization (CIO)$Club Sport$Social & Hobby,True,"Club Bowling at UVA is a club where members go bowling at Bowlero in Charlottesville. At these bowling events, members have the chance to improve their bowling skills and have fun with other members. Additionally, we have a competition squad that competes in bowling competitions against other schools.",2c554e62-8861-40dc-961c-5e32b4545d8f.jpg
Club Cycling at UVA,Service & Advocacy,Contracted Independent Organization (CIO)$Club Sport$Social & Hobby$No Application or Interview Required$Health and Wellness,False,"The Cycling Team is a club for anyone who rides bikes or wants to ride bikes. In addition to weekly social rides the Team competes throughout the year in the ACCC conference and holds regular weekly training rides. Team events such as training seminars, parties, fundraisers, and meetings are held throughout the year. New riders are always welcome, and racers receive significant support for racing. UVA has a long tradition of excellence in collegiate cycling.",a9badf81-efed-46a1-ac6a-fb208569e105.jpg
Club Dodgeball at the University of Virginia,Recreation & Social,Contracted Independent Organization (CIO)$Club Sport$Social & Hobby$No Application or Interview Required,False,"Club Dodgeball hosts weekly pick-up dodgeball games and practices, travels competitively for regional and national tournaments, and hosts social events. Anyone is welcome and there are no cuts. We practice at Slaughter Recreation Center on Fridays 4-5:30pm and Tuesdays 8-9:30pm. Please reach out to our President, Wyndham White (wrw2ztk@virginia.edu) with any questions you may have.",30b093ef-5dd6-49d4-905d-d712f3a58a33.png
Club Field Hockey at UVA,Recreation & Social,Contracted Independent Organization (CIO)$Club Sport$Social & Hobby,True,"The Club Field Hockey at UVA, established in 1991, provides a highly competitive level of play for both males and females, while requiring a lesser commitment than a varsity squad. The aim of this sport is to foster a team atmosphere while promoting the sport of field hockey at the University of Virginia. The team travels regularly to various colleges and universities along the east coast for tournaments and games, participates in various fundraising activities as well as bonding events. Our club team is the 2005, 2007, 2009, 2019, and 2024 (Spring) National Field Hockey League Champions, as well as winning 2nd place in 2011, 2012, 2013, 2018, and 2024 (Fall).",b4269dc7-8088-472c-b11d-9b9b1bad5981.jpeg
Club Figure Skating at UVA,Recreation & Social,Contracted Independent Organization (CIO)$Club Sport$No Application or Interview Required,False,"AboutClub Figure Skating is for beginner and experienced skaters to come together as a team to practice and compete in what is otherwise a fairly individualized sport. For beginner skaters, it provides an opportunity to try something new and to develop basic skills in a comfortable, encouraging peer environment. For competitive skaters, we plan to travel and compete as a cohesive team, representing UVA against other colleges on the east coast. In the past few years we have been proud to bring back a number of medals from multiple competitions. In recent years we have increased the number of members on our team (both competitive and beginner skaters) and have established our place in the collegiate figure skating community. Currently, the team skates 1.5-2.5 hours per week as a team and have off-ice practice space available. At on-ice practices, student coaches teach group and short individual lessons, skaters are encouraged to help each other, and we hope to add in seminars soon. Currently, the team practices in Richmond and Lynchburg. ",7f151ac9-c830-47ca-86ed-e8a3121759e3.jpg
Club Med (Internal Medicine Interest Group) at the University of Virginia,Academic & Professional,Contracted Independent Organization (CIO)$Academic & Professional,True,Internal Medicine Interest Group at the UVA School of Medicine.,52bfbe0c-7f47-443d-9781-730b9d1b7a5f.png
Club Powerlifting at UVA,Recreation & Social,Contracted Independent Organization (CIO)$Club Sport$No Application or Interview Required,False,"Powerlifting club is a team of lifters who compete in the sport of powerlifting. We train together to support and encourage each other, provide educational resources on powerlifting at all levels, and offer competition support through open meets, state meets, and national meets. ",45abf45e-7321-472d-a120-d8c9bb60e4ce.jpg
Club Swim at the University of Virginia,Recreation & Social,Contracted Independent Organization (CIO)$Club Sport$Social & Hobby$No Application or Interview Required,False,"Club Swim at the University of Virginia aims to provide students with a community that participates in weekly practices, swim meets, social events, community service, and a network of other students from a variety of years and majors. Through small group &#34;swamily&#34; events, to sports games, to club traditions like attending Carter's Mountain Sunset Series or our annual &#34;Swemi-formal,&#34; we seek to provide a space where individuals can have fun both in and away from the pool. We attend 3-4 meets each semester, but all practices and competitions are optional. Club Swim can be completely what you make of it!  We have a &#34;no cut&#34; policy and welcome swimmers of all skill levels and abilities, from high school varsity athletes to those who just like to swim for fun. Whether that’s continuing their swimming journey or beginning it, we hope that all interested students can find a home here at Club Swim. ",bdbc9d3f-c4de-4238-a456-12572646d8ce.jpeg
Club Table Tennis at UVA,Recreation & Social,Contracted Independent Organization (CIO)$Club Sport$Social & Hobby$No Application or Interview Required,False,"Looking for a fun way to stay active and meet new people at UVA? Look no further than Club Table Tennis! Whether you're a seasoned pro or a beginner, our club provides a welcoming space for all skill levels to come together and enjoy the fast-paced excitement of table tennis. With plenty of opportunities for both friendly matches and competitive play, our club is the perfect way to stay sharp and have fun all year round. If you make it to the team there will be NCTTA(National Collegiate Table Tennis Association) competitions with schools all over the country. Don't miss out on the chance to join a community of like-minded table tennis enthusiasts - come join us today!Please check out our Instagram and Groupme for the most up-to-date information. Feel free to message us on both platforms if you have any questions!Instagram: @tabletennisatuvaGroupme: https://groupme.com/join_group/70072736/4BotDVcQ    ",625fbe99-fcd7-4f63-8f13-9a8456fc550f.png
Club Wrestling at UVa,Recreation & Social,Contracted Independent Organization (CIO)$Club Sport$No Application or Interview Required,False,"  Our mission is to provide a safe, accepting environment for all members of the UVA student body and to build a community centered on an appreciation for and interest in wrestling as a sport. We have three optional practices per week for members of the club, where both new and experienced wrestlers will be able to practice the sport and have fun as well. We are a relaxed club centered around having fun and getting in a good workout, and we never make any member cut weight. We wrestle in at least one tournament per semester and also scrimmage with other clubs around the state.",2c71040c-48fe-4bc4-84b0-59f44f05d16b.jpg
CMB Trumpets,Arts & Media,Contracted Independent Organization (CIO)$Visual & Performing Arts,True,"The CMB Trumpets are a group united by our commitment to musical excellence, community bonding and dedication to each other. We strive to create an open, welcoming environment for all members of the Cavalier Marching Band, specifically for those in the trumpet section. We meet weekly during marching band rehearsals, and also host a variety of social events outside of band to build relationships and memories. ",67172c11-c388-4c95-aed4-7308fc9f418b.jpg
Cold Call Chorus,Professional Schools,Contracted Independent Organization (CIO)$Darden School$Visual & Performing Arts$No Application or Interview Required,False,"Cold Call Chorus (CCC) is an acapella group that seeks to infuse vocal music into the Darden experience and connect cultures through song. We hold our concerts at Darden's main events, and sing pieces that unify and uplift the student body. CCC offers its members an opportunity to step back from the rigors of academic life at Darden and mingle with fellow singers during the one-hour weekly rehearsal.",aac17b22-019a-4cb8-9568-bc142ec6e256.jpeg
College Aerospace Medicine Society at UVA,Academic & Professional,Contracted Independent Organization (CIO)$Academic & Professional$No Application or Interview Required,False,"The College Aerospace Medicine Society (CAMS) is an organization comprised of undergraduate students at the University of Virginia that fosters interest in the field of aerospace medicine. Through a journal club, speaker events, and community outreach, students will explore this ever-growing field. ",010f520e-ac95-4023-8b81-60c529d291cf.jpeg
College Council,Identity & Culture,Special Status Organization (SSO)$Academic & Professional$Administrative Unit$L2K,True,"The Council shall represent the interests, ambitions, and academic needs specific to the students in the College of Arts and Sciences to the larger University of Virginia community.",2f66bcd1-7a51-415b-a90b-886f7e53c6d9.jpg
College Mentors for Kids at UVA,Service & Advocacy,Contracted Independent Organization (CIO)$Public Service$Social & Hobby,True,"As a mentor, you'll get paired with an elementary schooler (your &#34;little buddy&#34;) who you'll get to know over the course of the entire year. After their school day ends at 3:00 PM, we bring our little buddies to grounds by bus so you can meet them in our activity space by New Dorms once a week for a 2-hour pre-planned session of fun. During each activity, you, your little buddy, and the rest of the pairs in your &#34;buddy family&#34; listen to guest speakers, go on field trips around grounds, and play games.We've introduced the kids to UVA football players, firemen, and professors. We've visited UVA sports facilities, toured the lawn, and done nature walks around grounds. We've hosted lemonade stands, made slime, played countless rounds of Simon says.At College Mentors for Kids, you'll inspire growth, confidence, and a brighter future in your little buddy.",1ca1e0a6-1806-4f5a-96e5-6d1b4436f221.png
College of Arts and Sciences,Campus Units,"Department, Schools, or Centers",True,College of Arts and Sciences,52b7167e-cb72-48f8-a510-25f29b0c3b54.jpg
College of Arts and Sciences Life Skills,Campus Units,"Department, Schools, or Centers",True,College of Arts and Sciences Life Skills,231c2f13-7c57-41e2-b892-0704fdd89ebb.jpg
College Republicans at the University of Virginia,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Political & Advocacy$Public Service$Social & Hobby$No Application or Interview Required,False,"The College Republicans at the University of Virginia is the premier conservative organization on Grounds. The stated mission of our organization is as follows:The CRs work to educate the greater University of Virginia community on the issues and values important to the Republican Party.The CRs defend conservative values on Grounds and work to counter the actions of our politicaladversaries whenever possible.The CRs will campaign for Republican candidates at every level of government.The CRs will promote conservative values and candidates for all elected offices at the University of Virginia.In 2021, our members vigorously campaigned to elect Glenn Youngkin as Virginia's Governor. We knocked doors, made phone calls, and connected with over 30,000 voters. In addition to campaigns, we host regular meetings and various speakers. Past speakers have included Governor George Allen, Governor Jim Gilmore, Congressman Ben Cline, and former Delegate Rob Bell. In 2023, we hosted the 70th Secretary of State, Mike Pompeo. Additionally, we know how to have fun. There's a reason we're known as the best party on Grounds!",c44856e2-a5ff-423b-84a4-3851e208d91d.jpg
College Science Scholars Council,Academic & Professional,Contracted Independent Organization (CIO)$Academic & Professional$Honor Society,True,"The mission of the College Science Scholars Council is to support the College Science Scholars program and to further the academic, intellectual, and social exchange between the Scholars themselves and the University Community. The Council organizes events, runs the mentorship program, and has oversight over all scholar activities.",65aed0b8-0bbb-4d56-9a4f-3f34e1d2aba1.png
Collegiate 100 of The University of Virginia,Identity & Culture,Contracted Independent Organization (CIO)$Academic & Professional$Public Service$Black Presidents Council,True,"We, the members of the Collegiate 100 of the University of Virginia, in order to form a more permanent organization, provide fellowship amongst our membership, support one another in our efforts to nurture and enhance the growth, development and opportunities for young African American males in central Virginia, and serve as valuable role models to the University of Virginia and Charlottesville communities",471c6130-d59a-418a-b1c6-46d7b4d5247d.png
Comics and Animation INternational Exploration,Arts & Media,Contracted Independent Organization (CIO)$Media & Publications$Social & Hobby$No Application or Interview Required,False,"CAINE is a club that aims to increase awareness and appreciation for comics and animation as legitimate media for art and entertainment. CAINE is the place for you to talk about your interests and share in the enthusiasm that brings fans together across genres and types of media, from Xenoblade to X-Men to Bocchi the Rock!We strongly encourage you to join our Discord server: https://discord.gg/SNwZxQ29TqWe also encourage you to sign up for emails about our weekly meetings here: https://lists.virginia.edu/sympa/subscribe/caineWe hope to see you at our meetings!",1e39974f-baa8-4bcb-b4fa-d8e4a02aed19.png
Commerce Council,Service & Advocacy,Special Status Organization (SSO)$Academic & Professional$Administrative Unit$Commerce/Business,True,"The Commerce Council represents and supports undergraduate students in the McIntire School of Commerce by hosting and coordinating service and social events, outreach activities, and other various programs. ",7500f5cf-492e-4449-9d12-d5ab542d57f6.jpg
Common Cents,Academic & Professional,Contracted Independent Organization (CIO)$Commerce/Business,True,"Common Cents (https://commoncents.org/) is a national nonprofit seeking to empower college students with the knowledge to manage their money and reach financial independence. We strive to make personal finance interactive, engaging, and appealing for a wide audience. Regardless of age, major, career, or income level, we seek to break the stigma and fear of personal finance and improve financial literacy. This organization was first launched at the University of Pennsylvania’s Wharton School and has expanded to other colleges such as Cornell, Johns Hopkins, and Florida State. After meeting with national leadership from UPenn, we were approved to start our own chapter at the University of Virginia. We now have an executive committee, approximately 30 members signed up, and Professor Dorothy Kelly of the McIntire School of Commerce as our faculty advisor. Our mission is to promote financial literacy both at UVA and in the wider Charlottesville community. At UVA, many undergraduate students lack basic personal finance skills necessary to live on their own. For example, too many 1st year students sign leases for 2nd year between September and October without fully understanding their rights or obligations under the expensive leases that local landlords make them sign. In addition, many sign up for credit cards and student loans, taking on debt for the first time, which leads to financial challenges early in their lives. It is our goal to promote financial literacy through guest speakers, lectures, and interactive activities. The need for financial literacy and personal finance basics is not only essential for UVA undergraduates, but extends to the local community. We want to help young people, minority groups and recent immigrants in the greater Charlottesville region similarly learn to better understand personal finance. This is why we are looking to partner with local high schools and Piedmont Virginia Community College to help promote financial literacy through presentations from Common Cents club members and to better prepare them for the financial decisions they will need to make in the near future. We hope to provide a great service opportunity for UVA students and help UVA make an impact on the local community through our mission.",95ef9900-9cc9-4a2b-824b-6a58634940a9.png
Common Law Grounds,Professional Schools,Contracted Independent Organization (CIO)$Law School$No Application or Interview Required,False,"The purpose of Common Law Grounds is to encourage discussion and debate among students and faculty across the ideological spectrum with the goal of identifying and articulating areas of agreement about core values and practices, isolating points of substantive disagreement while also looking for common ground, and fostering a culture of open and civil dialogue about legal and political issues. We pursue these goals not under the naïve impression that compromise on important questions of policy is always possible or even desirable. Rather, we do so out of a conviction that for a constitutional democracy to survive and thrive, citizens—especially lawyer-citizens—must remain as attuned to what they have in common as they are to what divides them. Common Law Grounds hopes to expand beyond the University of Virginia School of Law and reach communities across the country.",6a515b8a-850c-4285-a317-a8a47837d849.png
Community Cleanup Club at the University of Virginia,Service & Advocacy,Public Service$No Application or Interview Required$Sustainability,False,"The Community Cleanup Club at the University of Virginia was founded on the belief that the UVA community should be the pinnacle of community respect, leadership, and helping the less fortunate. Every Sunday Morning, the club will meet on Madison Bowl, where we will scout out areas affected with litter from post-football game parties, Fraternities and Sororities, and other parties and clean waste from cans, glass, plastic, etc. There is no application to join, and be free to reach out to Aidan Palys at zcq3xy@virginia.edu if you have any questions about joining or in general!",c107704d-3885-45b5-a43c-a6d1603aa550.jpeg
Community Consultants of Darden,Service & Advocacy,Contracted Independent Organization (CIO)$Darden School$Public Service,True,"Community Consultants of Darden (CCoD) is an incorporated not-for-profit organization founded in 1956. CCoD provides marketing, operational, and strategic evaluation and planning services to visionary non-profit organizations and small business in the Charlottesville community. CCoD delivers a unique and valuable experience for both students and clients, and furthers the Darden brand in the community.",99d37598-d0c6-4aee-bda2-29ad19bde4c8.png
Community Honor Fund,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Public Service,True,"The Community Honor Fund seeks to financially empower University of Virginia  employees, University of Virginia-affiliated employees, and other persons in the  Charlottesville community through the student-led provision of short term affordable  capital and personalized financial education programs. As an organization we have three main objectives. First, we aim to strengthen the financial position of Charlottesville workers through a personalized, student-led approach. Second, we seek to leverage  University resources, student flexibility, and a culture of trust to offer competitive, short  term financial solutions. Finally, we aim to foster University wide student/client  relationships to build a stronger community and relieve asset poverty. Ultimately, we  want to disrupt the sizable predatory lending industry in Charlottesville by providing a  more affordable alternative to traditional low income lenders, such as payday and title  lenders. ",000e3cb8-adca-491b-b1a6-37ea14cca25e.png
Competition Cheerleading Club at UVA,Recreation & Social,Contracted Independent Organization (CIO)$Club Sport,True,"Competition Cheerleading Club at UVA is a competitive and skill building team that brings cheerleaders of all skill levels together in order to build a routine, compete/showcase nationally, and improve our tumbling, jumping, dancing, and stunting skills! We have 20 competition team members who are selected in September, and all other members are skill building members. ",887dbaf9-d4cc-44e2-9f67-5cf323cb0e4e.jpeg
Computer and Network Security Club at the University of Virginia,Academic & Professional,Contracted Independent Organization (CIO)$Academic & Professional$No Application or Interview Required,False,"We are the cybersecurity club here at UVA! We welcome all levels and provide something for everyone whether you are just getting started or are a seasoned veteran. We usually hold general body meetings Wednesdays at 7 PM but join the Discord (link below) for the most up to date info. These meetings usually last an hour and will range from talks on cyber topics, guest speakers like professors, UVA alumni, etc., hands on activities, problem solving, competitions and practice, networking events, and so much more! Be sure to come out. We also have no dues!If you are interested in joining either email cnsuva-officers@virginia.edu or join our discord at https://discord.gg/2pAe4C3sg",50e9548c-f2ea-4212-b763-977156f87ce0.jpg
Connoisseurs of Code,Academic & Professional,Academic & Professional$No Application or Interview Required,False,"Our Computer Science Club is a vibrant and intellectually stimulating community dedicated to exploring the ever-evolving world of computer science. We're passionate about delving into a diverse range of topics, from data science and machine learning to the intricacies of large language models, and everything in between. Our primary mission is to foster a strong learning environment where members can engage in hands-on exploration and discussion of cutting-edge technologies and trends. We will divide members up into research groups, where they can collaborate as they explore a relevant topic. They will then create and present an interactive project that demonstrates the fruits of their learning. ",8abeea51-eb47-4985-b962-cbd4b737dbea.jpeg
Consulting Club at Darden,Professional Schools,Contracted Independent Organization (CIO)$Academic & Professional$Darden School$No Application or Interview Required,False,"The Consulting Club at Darden abides by its mission of educating its membership about the consulting industry, connecting them with consulting firms and companies looking to fill internal strategy positions for recruiting purposes, and preparing its members for success during the networking and interview process.",6d6ef0a7-8fae-4c6f-b5d3-b57cbd65d7c7.png
Contemplative Sciences Center,Service & Advocacy,"Department, Schools, or Centers$Academic & Professional$Sustainability",True,"The mission of the Contemplative Sciences Center (CSC) is to advance the study and application of human flourishing at all levels of education—K-12, undergraduate, graduate, professional, and lifelong. In particular we are focused on how educational institutions can better understand and facilitate the types of knowledge, mindsets, and practices that promote flourishing.",f7622533-7fd3-487b-9101-264e5e3970b6.jpg
Copeley,Campus Units,Residence Hall,True,HRL,5deb79c4-e76f-4628-b13c-2de30788944a.jpg
Coptic Orthodox Christian Association,Miscellaneous,Contracted Independent Organization (CIO)$Religious & Spiritual$No Application or Interview Required,False,"As Coptic Orthodox Christians ('Copts'), we dedicate our whole lives to Christ, and aim to glorify Him in everything we do.We bear witness to the ancient, apostolic Coptic (Egyptian) Orthodox faith, and through prayer, worship, Bible study, and fellowship, grow spiritually together and enjoy great friendship with one another.The Coptic Club has for ~20 years brought together students of faith and aims to create awareness of our heritage at UVA.As we're called to as Christians, we love sharing Christ and our Church with everyone—All are welcome!——We gather weekly for prayer, worship, and Bible study, make memories together, and share in the blessings of spiritual outreach and community service. We attend and pray the Divine Liturgy at St. Mary and St. John the Baptist Coptic Orthodox Church in Staunton, VA.",45d38ae6-3d91-46c9-a812-7be7e674c219.jpg
Cosplay Costuming & Crafts Club,Identity & Culture,Contracted Independent Organization (CIO)$Cultural & Ethnic$Social & Hobby$Visual & Performing Arts,True,"The CCC Club at UVA is established for the expressed purpose of: Bringing together costumers, propmakers, artists, cosplayers, and crafters of all skill levels, from expert to novice, to foster a community of creativity and create a safe and collaborative environment for people who love the idea of bringing fiction to life through wearable art. Giving students access to craft supplies and materials they wouldn’t otherwise have. Creating an open space for those not enrolled in artistic classes to express their passion in the creative field still and have hands-on craft experience.Collaborating with other CIOs and departments to host joint events, showcase costumes, props, and other projects made in CCC Club.Enriching the greater UVA community with diverse ideas and experiences through sharing the cultural aspects behind cosplay and highlighting traditional crafts from cultures all around the world.",b7e0dbef-61ed-4962-8d23-86295365da77.jpg
Counselor Education Student Organization,Service & Advocacy,Contracted Independent Organization (CIO)$Academic & Professional$Public Service$Social & Hobby$No Application or Interview Required,False,"Our organization seeks to promote professional growth, access to resources related to the field of counseling, learning, and social connection and inclusivity amongst our members. We achieve this by connect students to professional development, academic, and/or community service opportunities within or related to the field of counseling or education. Additionally, we seek to advocate and advance the field of counseling on behalf of UVA, the greater Charlottesville community, and at the statewide level.",2199ad71-d9ec-4fcc-96dc-eeb9c5ee229c.png
Cracking the Interview,Identity & Culture,Contracted Independent Organization (CIO)$Academic & Professional$Cultural & Ethnic$Social & Hobby$No Application or Interview Required,False,"Cracking the Interview is established for the expressed purpose of:1. Help students get hands on technical and behavioral interview prep from companies and peers specificallyin regards to work in the Computer Science fields (software engineering, product management)2. Collaborating with other CIOs and departments such as the CS department and Career Center to hostevents geared towards helping people prepare for interviews. Also introducing them to resources such as:LinkedIn, Virginia Alumni Network (VAM), Handshake, and technical resources such as: LeetCode.",992c6616-6374-4766-a9bd-584d79a26c95.png
